Sensor_ID,Y,X
3088,44.935818,-93.21752
5582,44.891655,-93.34291
11134,44.92776,-93.32235
21179,44.965965,-93.284615
43305,44.899097,-93.30169
54907,45.003338,-93.25568
61239,45.0043,-93.2546
77405,44.966743,-93.17984
85113,44.93642,-93.17899
99807,44.91834,-93.32371
101525,44.893944,-93.30508
108364,44.878834,-93.35441
110979,44.997475,-93.25726
113486,44.928123,-93.25389
128195,44.93578,-93.18634
142718,44.99631,-93.29565
142720,44.955555,-93.254974
142726,45.01507,-93.28903
142724,44.937733,-93.24356
142734,44.90432,-93.280624
142732,44.916058,-93.274155
142736,44.972713,-93.28224
142742,44.910656,-93.32521
142744,44.996323,-93.29719
142750,44.921528,-93.32784
142748,44.965744,-93.285416
142774,44.953075,-93.31713
142928,44.95735,-93.24736
142932,44.953747,-93.252464
143214,44.90534,-93.232285
143216,44.97844,-93.263535
143226,44.91171,-93.227066
143224,45.008877,-93.249146
143242,44.96826,-93.21156
143240,44.987465,-93.25782
143246,44.901524,-93.276825
143248,45.005238,-93.260284
143284,44.95001,-93.24743
143634,45.023975,-93.29437
143636,45.009544,-93.29431
143648,45.029537,-93.29194
143656,44.932285,-93.28308
143660,44.93786,-93.214035
143666,44.998505,-93.24864
143668,44.953743,-93.286804
143916,44.960915,-93.26111
143942,44.98081,-93.30325
145202,45.013653,-93.2346
145204,44.967304,-93.21772
145242,45.007458,-93.26463
145250,44.96758,-93.3164
145262,44.97941,-93.302444
145454,44.94475,-93.23892
145470,44.90896,-93.23099
145498,44.935925,-93.2779
145506,44.916107,-93.25623
145604,44.962765,-93.23776
157845,44.928734,-93.26885
157861,44.930527,-93.25872
157871,44.934166,-93.27013
157877,44.901764,-93.2089
157935,44.930527,-93.32394
161401,44.979156,-93.31753
166459,44.896046,-93.26775
168327,44.95194,-93.263916
174451,44.953358,-93.247055
174855,45.05947,-93.294075
176569,44.962067,-93.23587
182801,44.961143,-93.18576
183325,45.02024,-93.23328
186901,44.95751,-93.22617
188539,44.98458,-93.267876
193171,45.05231,-93.36097
193207,44.998047,-93.20551
194635,44.953735,-93.24866
196233,44.98686,-93.18338
198941,44.936882,-93.23107
