time_stamp,temperature,pm2.5_atm
2022-10-03T00:00:00Z,70.433,2.8585000000000003
2022-10-03T06:00:00Z,66.94,2.8235
2022-10-03T12:00:00Z,70.344,4.696999999999999
2022-10-03T18:00:00Z,81.011,1.447
2022-10-04T00:00:00Z,71.872,3.1055
2022-10-04T06:00:00Z,67.595,1.777
2022-10-04T12:00:00Z,73.433,2.3015
2022-10-04T18:00:00Z,82.294,1.732
2022-10-05T00:00:00Z,74.2,5.862
2022-10-05T06:00:00Z,69.322,5.6185
2022-10-05T12:00:00Z,73.211,10.7205
2022-10-05T18:00:00Z,77.317,9.4025
2022-10-06T00:00:00Z,68.539,25.197000000000003
2022-10-06T06:00:00Z,63.974,26.896
2022-10-06T12:00:00Z,60.128,16.411
2022-10-06T18:00:00Z,59.741,0.008
2022-10-07T00:00:00Z,52.311,0.003
2022-10-07T06:00:00Z,49.95,0
2022-10-07T12:00:00Z,50.211,0
2022-10-07T18:00:00Z,54.672,0.004
2022-10-08T00:00:00Z,45.417,6.390499999999999
2022-10-08T06:00:00Z,42.317,0.876
2022-10-08T12:00:00Z,52.811,0.0465
2022-10-08T18:00:00Z,67.122,0.291
2022-10-09T00:00:00Z,60.645,3.107
2022-10-09T06:00:00Z,51.105,4.259
2022-10-09T12:00:00Z,62.578,5.4485
2022-10-09T18:00:00Z,72.828,4.061
