time_stamp,pm2.5_alt_b
2023-01-03T00:00:00Z,11.3
2023-01-04T00:00:00Z,2.6
2023-01-05T00:00:00Z,3.5
2023-01-06T00:00:00Z,11.4
2023-01-07T00:00:00Z,28
2023-01-08T00:00:00Z,29.9
2023-01-09T00:00:00Z,33.5
2023-01-10T00:00:00Z,38.4
2023-01-11T00:00:00Z,49.8
2023-01-12T00:00:00Z,19.9
2023-01-13T00:00:00Z,6
2023-01-14T00:00:00Z,12.7
2023-01-15T00:00:00Z,9.4
2023-01-16T00:00:00Z,12.9
2023-01-17T00:00:00Z,7.1
2023-01-18T00:00:00Z,4.9
2023-01-19T00:00:00Z,2.6
2023-01-20T00:00:00Z,3
2023-01-21T00:00:00Z,7.1
2023-01-22T00:00:00Z,11.6
2023-01-23T00:00:00Z,15
2023-01-24T00:00:00Z,10.5
2023-01-25T00:00:00Z,17.4
2023-01-26T00:00:00Z,2
2023-01-27T00:00:00Z,7.2
2023-01-28T00:00:00Z,1.9
2023-01-29T00:00:00Z,2.3
2023-01-30T00:00:00Z,3.1
