time_stamp,pm2.5_alt_b
2023-01-01T00:00:00Z,8.8
2023-01-02T00:00:00Z,14.5
2023-01-03T00:00:00Z,13
2023-01-04T00:00:00Z,0.8
2023-01-05T00:00:00Z,1.4
2023-01-06T00:00:00Z,9.8
2023-01-07T00:00:00Z,22
2023-01-08T00:00:00Z,23.8
2023-01-09T00:00:00Z,25.4
2023-01-10T00:00:00Z,36.7
2023-01-11T00:00:00Z,41.3
2023-01-12T00:00:00Z,15.8
2023-01-13T00:00:00Z,3.4
2023-01-14T00:00:00Z,7.6
2023-01-15T00:00:00Z,5.4
2023-01-16T00:00:00Z,7.4
2023-01-17T00:00:00Z,3.5
2023-01-18T00:00:00Z,3
2023-01-19T00:00:00Z,0.5
2023-01-20T00:00:00Z,1
2023-01-21T00:00:00Z,4
2023-01-22T00:00:00Z,8.5
2023-01-23T00:00:00Z,9.1
2023-01-24T00:00:00Z,6.4
2023-01-25T00:00:00Z,13.4
2023-01-26T00:00:00Z,0.9
2023-01-27T00:00:00Z,3.4
2023-01-28T00:00:00Z,0.3
2023-01-29T00:00:00Z,0.4
2023-01-30T00:00:00Z,0.8
