time_stamp,pm2.5_alt_b
2023-01-03T00:00:00Z,6.7
2023-01-04T00:00:00Z,2.6
2023-01-05T00:00:00Z,3.7
2023-01-06T00:00:00Z,11.1
2023-01-07T00:00:00Z,27.5
2023-01-08T00:00:00Z,30
2023-01-09T00:00:00Z,34.7
2023-01-10T00:00:00Z,39.7
2023-01-11T00:00:00Z,63.2
2023-01-19T00:00:00Z,1.3
2023-01-20T00:00:00Z,3.1
2023-01-21T00:00:00Z,7
2023-01-22T00:00:00Z,11.4
2023-01-23T00:00:00Z,14.4
2023-01-24T00:00:00Z,11.2
2023-01-25T00:00:00Z,17.1
2023-01-26T00:00:00Z,1.9
2023-01-27T00:00:00Z,7.2
2023-01-28T00:00:00Z,2
2023-01-29T00:00:00Z,2.2
2023-01-30T00:00:00Z,3
