time_stamp,temperature,pm2.5_atm
2022-07-04T00:00:00Z,86.022,6.139
2022-07-04T06:00:00Z,85,3.495
2022-07-04T12:00:00Z,85.189,21.135
2022-07-04T18:00:00Z,87.733,11.234
2022-07-05T00:00:00Z,87.8,4.14
2022-07-05T06:00:00Z,85.767,0.955
2022-07-05T12:00:00Z,86.239,0.946
2022-07-05T18:00:00Z,87.65,1.096
2022-07-06T00:00:00Z,87.105,0.991
2022-07-06T06:00:00Z,85.75,0.436
2022-07-06T12:00:00Z,85.444,1.726
2022-07-06T18:00:00Z,87.872,2.469
2022-07-07T00:00:00Z,87.267,0.297
2022-07-07T06:00:00Z,85.594,0.512
2022-07-07T12:00:00Z,85.9,3.205
2022-07-07T18:00:00Z,86.778,11.075
2022-07-08T00:00:00Z,86.472,2.619
2022-07-08T06:00:00Z,85.128,0.233
2022-07-08T12:00:00Z,85.444,3.585
2022-07-08T18:00:00Z,87.778,2.949
2022-07-09T00:00:00Z,86.75,0.895
2022-07-09T06:00:00Z,84.933,1.077
2022-07-09T12:00:00Z,84.889,21.633
2022-07-09T18:00:00Z,90.222,14.495
2022-07-10T00:00:00Z,89.111,2.685
2022-07-10T06:00:00Z,86.928,0.943
2022-07-10T12:00:00Z,87.206,17.129
2022-07-10T18:00:00Z,88.278,5.774
