time_stamp,temperature,pm2.5_atm
2022-07-04T00:00:00Z,85.978,3.805
2022-07-04T06:00:00Z,86.886,4.096
2022-07-04T12:00:00Z,87.522,4.584
2022-07-04T18:00:00Z,85.711,3.171
2022-07-05T00:00:00Z,85.817,4.222
2022-07-05T06:00:00Z,86.806,4.55
2022-07-05T12:00:00Z,85.561,4.819
2022-07-05T18:00:00Z,84.706,3.321
2022-07-06T00:00:00Z,86.111,3.407
2022-07-06T06:00:00Z,87.917,3.909
2022-07-06T12:00:00Z,86.6,4.683
2022-07-06T18:00:00Z,84.778,4.01
2022-07-07T00:00:00Z,86.233,3.971
2022-07-07T06:00:00Z,87.239,4.566
2022-07-07T12:00:00Z,85.161,4.406
2022-07-07T18:00:00Z,84.256,3.817
2022-07-08T00:00:00Z,85.633,3.854
2022-07-08T06:00:00Z,86.8,4.229
2022-07-08T12:00:00Z,85.267,4.852
2022-07-08T18:00:00Z,84.967,3.826
2022-07-09T00:00:00Z,85.872,3.383
2022-07-09T06:00:00Z,87.183,4.23
2022-07-09T12:00:00Z,84.489,3.102
2022-07-09T18:00:00Z,84.028,3.105
2022-07-10T00:00:00Z,85.317,3.534
2022-07-10T06:00:00Z,86.394,3.592
2022-07-10T12:00:00Z,85.133,3.381
2022-07-10T18:00:00Z,84.772,3.302
