time_stamp,temperature,pm2.5_atm
2022-12-24T00:00:00Z,-0.273,1.501
2022-12-24T06:00:00Z,-0.995,1.4605000000000001
2022-12-24T12:00:00Z,0.378,0.7364999999999999
2022-12-24T18:00:00Z,7.45,0.633
2022-12-25T00:00:00Z,3.656,1.4609999999999999
2022-12-25T06:00:00Z,0.906,0.543
2022-12-25T12:00:00Z,3.367,1.519
2022-12-25T18:00:00Z,10.694,4.5605
2022-12-26T00:00:00Z,12.995,10.3955
2022-12-26T06:00:00Z,11.672,3.0625
2022-12-26T12:00:00Z,9.478,1.65
2022-12-26T18:00:00Z,16.25,2.142
2022-12-27T00:00:00Z,10.967,5.564
2022-12-27T06:00:00Z,12.572,3.887
2022-12-27T12:00:00Z,19.9,3.67
2022-12-27T18:00:00Z,28.5,3.9850000000000003
2022-12-28T00:00:00Z,27.611,13.85
2022-12-28T06:00:00Z,32.517,13.4055
2022-12-28T12:00:00Z,36.783,13.82
2022-12-28T18:00:00Z,42.411,13.98
2022-12-29T00:00:00Z,41.889,20.951999999999998
2022-12-29T06:00:00Z,41.789,19.982999999999997
2022-12-29T12:00:00Z,39.956,27.7165
2022-12-29T18:00:00Z,40.983,34.9135
