time_stamp,temperature,pm2.5_atm
2022-12-24T00:00:00Z,3.933,0.689
2022-12-24T06:00:00Z,3.011,0
2022-12-24T12:00:00Z,5.461,0
2022-12-24T18:00:00Z,13.567,0
2022-12-25T00:00:00Z,8.239,0.503
2022-12-25T06:00:00Z,5.178,1.198
2022-12-25T12:00:00Z,6.733,0
2022-12-25T18:00:00Z,13.25,0.2635
2022-12-26T00:00:00Z,15.211,2.3925
2022-12-26T06:00:00Z,13.767,0.1295
2022-12-26T12:00:00Z,12.233,0.0035
2022-12-26T18:00:00Z,20.2,0.0005
2022-12-27T00:00:00Z,12.522,0.344
2022-12-27T06:00:00Z,13.317,0.006
2022-12-27T12:00:00Z,20.972,0.0405
2022-12-27T18:00:00Z,29.695,0.5035000000000001
2022-12-28T00:00:00Z,27.794,4.961
2022-12-28T06:00:00Z,32.95,5.8345
2022-12-28T12:00:00Z,37.178,6.76
2022-12-28T18:00:00Z,43.111,9.410499999999999
2022-12-29T00:00:00Z,42.267,15.72
2022-12-29T06:00:00Z,42.294,15.9225
2022-12-29T12:00:00Z,41.195,23.4215
2022-12-29T18:00:00Z,42.905,30.2955
