Sensor_ID,Y,X,time_stamp,pm2.5_atm
143636,45.009544,-93.29431,2023-07-14T00:00:00Z,6.8245000000000005
143656,44.932285,-93.28308,2023-07-14T00:00:00Z,6.167999999999999
143660,44.93786,-93.214035,2023-07-14T00:00:00Z,6.0635
143666,44.998505,-93.24864,2023-07-14T00:00:00Z,5.923
143668,44.953743,-93.286804,2023-07-14T00:00:00Z,5.7715
143916,44.960915,-93.26111,2023-07-14T00:00:00Z,6.6795
143942,44.98081,-93.30325,2023-07-14T00:00:00Z,6.479
145204,44.967304,-93.21772,2023-07-14T00:00:00Z,6.0145
54907,45.003338,-93.25568,2023-07-14T00:00:00Z,5.2865
145454,44.94475,-93.23892,2023-07-14T00:00:00Z,7.185499999999999
145470,44.90896,-93.23099,2023-07-14T00:00:00Z,6.162
21179,44.965965,-93.284615,2023-07-14T00:00:00Z,5.0365
145498,44.935925,-93.2779,2023-07-14T00:00:00Z,6.080500000000001
145506,44.916107,-93.25623,2023-07-14T00:00:00Z,6.5735
145604,44.962765,-93.23776,2023-07-14T00:00:00Z,6.509
157861,44.930527,-93.25872,2023-07-14T00:00:00Z,6.209
145250,44.96758,-93.3164,2023-07-14T00:00:00Z,6.0600000000000005
143246,44.901524,-93.276825,2023-07-14T00:00:00Z,5.1885
143240,44.987465,-93.25782,2023-07-14T00:00:00Z,5.897
143224,45.008877,-93.249146,2023-07-14T00:00:00Z,6.3285
108364,44.878834,-93.35441,2023-07-14T00:00:00Z,5.3495
110979,44.997475,-93.25726,2023-07-14T00:00:00Z,6.486000000000001
113486,44.928123,-93.25389,2023-07-14T00:00:00Z,2.137
128195,44.93578,-93.18634,2023-07-14T00:00:00Z,1.464
85113,44.93642,-93.17899,2023-07-14T00:00:00Z,5.8395
142718,44.99631,-93.29565,2023-07-14T00:00:00Z,7.8795
142720,44.955555,-93.254974,2023-07-14T00:00:00Z,6.1045
142726,45.01507,-93.28903,2023-07-14T00:00:00Z,7.375
142724,44.937733,-93.24356,2023-07-14T00:00:00Z,6.374499999999999
142734,44.90432,-93.280624,2023-07-14T00:00:00Z,5.2515
142732,44.916058,-93.274155,2023-07-14T00:00:00Z,5.118
142736,44.972713,-93.28224,2023-07-14T00:00:00Z,6.981
142744,44.996323,-93.29719,2023-07-14T00:00:00Z,5.656499999999999
142750,44.921528,-93.32784,2023-07-14T00:00:00Z,7.5015
142748,44.965744,-93.285416,2023-07-14T00:00:00Z,5.41
142774,44.953075,-93.31713,2023-07-14T00:00:00Z,5.7465
143214,44.90534,-93.232285,2023-07-14T00:00:00Z,5.407
61239,45.0043,-93.2546,2023-07-14T00:00:00Z,6.1375
143216,44.97844,-93.263535,2023-07-14T00:00:00Z,6.2845
143226,44.91171,-93.227066,2023-07-14T00:00:00Z,5.9190000000000005
157877,44.901764,-93.2089,2023-07-14T00:00:00Z,6.565
5582,44.891655,-93.34291,2023-07-14T00:00:00Z,5.1005
101525,44.893944,-93.30508,2023-07-14T00:00:00Z,6.4355
161401,44.979156,-93.31753,2023-07-14T00:00:00Z,5.787
157935,44.930527,-93.32394,2023-07-14T00:00:00Z,5.3675
174451,44.953358,-93.247055,2023-07-14T00:00:00Z,6.3215
168327,44.95194,-93.263916,2023-07-14T00:00:00Z,5.7995
182801,44.961143,-93.18576,2023-07-14T00:00:00Z,6.095000000000001
174855,45.05947,-93.294075,2023-07-14T00:00:00Z,5.4175
143240,44.987465,-93.25782,2023-07-14T01:00:00Z,7.502499999999999
143246,44.901524,-93.276825,2023-07-14T01:00:00Z,6.737
54907,45.003338,-93.25568,2023-07-14T01:00:00Z,6.8585
174451,44.953358,-93.247055,2023-07-14T01:00:00Z,9.593
143636,45.009544,-93.29431,2023-07-14T01:00:00Z,9.917
101525,44.893944,-93.30508,2023-07-14T01:00:00Z,8.428
143660,44.93786,-93.214035,2023-07-14T01:00:00Z,8.0975
143668,44.953743,-93.286804,2023-07-14T01:00:00Z,8.454
143916,44.960915,-93.26111,2023-07-14T01:00:00Z,8.7355
168327,44.95194,-93.263916,2023-07-14T01:00:00Z,7.903
143942,44.98081,-93.30325,2023-07-14T01:00:00Z,7.977
145204,44.967304,-93.21772,2023-07-14T01:00:00Z,7.1545000000000005
145250,44.96758,-93.3164,2023-07-14T01:00:00Z,7.4795
145454,44.94475,-93.23892,2023-07-14T01:00:00Z,11.1695
145470,44.90896,-93.23099,2023-07-14T01:00:00Z,7.824999999999999
21179,44.965965,-93.284615,2023-07-14T01:00:00Z,6.487500000000001
143666,44.998505,-93.24864,2023-07-14T01:00:00Z,7.628
143224,45.008877,-93.249146,2023-07-14T01:00:00Z,7.795999999999999
5582,44.891655,-93.34291,2023-07-14T01:00:00Z,7.169499999999999
161401,44.979156,-93.31753,2023-07-14T01:00:00Z,7.0920000000000005
108364,44.878834,-93.35441,2023-07-14T01:00:00Z,7.891
110979,44.997475,-93.25726,2023-07-14T01:00:00Z,7.531
113486,44.928123,-93.25389,2023-07-14T01:00:00Z,3.27
128195,44.93578,-93.18634,2023-07-14T01:00:00Z,2.689
85113,44.93642,-93.17899,2023-07-14T01:00:00Z,6.803
142718,44.99631,-93.29565,2023-07-14T01:00:00Z,14.2985
142720,44.955555,-93.254974,2023-07-14T01:00:00Z,7.886
142726,45.01507,-93.28903,2023-07-14T01:00:00Z,10.915500000000002
142724,44.937733,-93.24356,2023-07-14T01:00:00Z,7.8145
143226,44.91171,-93.227066,2023-07-14T01:00:00Z,8.772
142734,44.90432,-93.280624,2023-07-14T01:00:00Z,6.906499999999999
