Sensor_ID,Y,X,time_stamp,pm2.5_atm
3088,44.935818,-93.21752,2022-07-04T00:00:00Z,8.393
43305,44.899097,-93.30169,2022-07-04T00:00:00Z,12.283
54907,45.003338,-93.25568,2022-07-04T00:00:00Z,10.902
77405,44.966743,-93.17984,2022-07-04T00:00:00Z,11.11
85113,44.93642,-93.17899,2022-07-04T00:00:00Z,11.572
101525,44.893944,-93.30508,2022-07-04T00:00:00Z,13.29
108364,44.878834,-93.35441,2022-07-04T00:00:00Z,12.1965
110979,44.997475,-93.25726,2022-07-04T00:00:00Z,15.5485
113486,44.928123,-93.25389,2022-07-04T00:00:00Z,9.2325
128195,44.93578,-93.18634,2022-07-04T00:00:00Z,5.500500000000001
11134,44.92776,-93.32235,2022-07-04T00:00:00Z,12.677
142720,44.955555,-93.254974,2022-07-04T00:00:00Z,16.664
145498,44.935925,-93.2779,2022-07-04T00:00:00Z,12.257
142734,44.90432,-93.280624,2022-07-04T00:00:00Z,12.637
143214,44.90534,-93.232285,2022-07-04T00:00:00Z,11.293
143226,44.91171,-93.227066,2022-07-04T00:00:00Z,12.153
142724,44.937733,-93.24356,2022-07-04T00:00:00Z,10.829
145242,45.007458,-93.26463,2022-07-04T00:00:00Z,15.0185
145470,44.90896,-93.23099,2022-07-04T00:00:00Z,12.762
145262,44.97941,-93.302444,2022-07-04T00:00:00Z,9.0965
145250,44.96758,-93.3164,2022-07-04T00:00:00Z,18.1325
143242,44.96826,-93.21156,2022-07-04T00:00:00Z,9.523
143648,45.029537,-93.29194,2022-07-04T00:00:00Z,13.645
143284,44.95001,-93.24743,2022-07-04T00:00:00Z,13.954
21179,44.965965,-93.284615,2022-07-04T00:00:00Z,10.9525
143240,44.987465,-93.25782,2022-07-04T00:00:00Z,11.386500000000002
145470,44.90896,-93.23099,2022-07-04T06:00:00Z,12.869
43305,44.899097,-93.30169,2022-07-04T06:00:00Z,12.39
143242,44.96826,-93.21156,2022-07-04T06:00:00Z,11.436
54907,45.003338,-93.25568,2022-07-04T06:00:00Z,11.833
145262,44.97941,-93.302444,2022-07-04T06:00:00Z,6.2245
77405,44.966743,-93.17984,2022-07-04T06:00:00Z,12.27
143214,44.90534,-93.232285,2022-07-04T06:00:00Z,12.138
85113,44.93642,-93.17899,2022-07-04T06:00:00Z,12.5205
145250,44.96758,-93.3164,2022-07-04T06:00:00Z,13.9995
101525,44.893944,-93.30508,2022-07-04T06:00:00Z,12.066
142724,44.937733,-93.24356,2022-07-04T06:00:00Z,13.0155
108364,44.878834,-93.35441,2022-07-04T06:00:00Z,12.274
145242,45.007458,-93.26463,2022-07-04T06:00:00Z,15.361
110979,44.997475,-93.25726,2022-07-04T06:00:00Z,12.879
142734,44.90432,-93.280624,2022-07-04T06:00:00Z,11.5655
113486,44.928123,-93.25389,2022-07-04T06:00:00Z,7.729999999999999
143648,45.029537,-93.29194,2022-07-04T06:00:00Z,12.245
128195,44.93578,-93.18634,2022-07-04T06:00:00Z,7.6485
143240,44.987465,-93.25782,2022-07-04T06:00:00Z,11.4825
143284,44.95001,-93.24743,2022-07-04T06:00:00Z,13.325
142720,44.955555,-93.254974,2022-07-04T06:00:00Z,12.8265
21179,44.965965,-93.284615,2022-07-04T06:00:00Z,10.9535
143226,44.91171,-93.227066,2022-07-04T06:00:00Z,12.6205
145498,44.935925,-93.2779,2022-07-04T06:00:00Z,12.59
11134,44.92776,-93.32235,2022-07-04T06:00:00Z,11.683
3088,44.935818,-93.21752,2022-07-04T06:00:00Z,7.577500000000001
85113,44.93642,-93.17899,2022-07-04T12:00:00Z,15.6585
145262,44.97941,-93.302444,2022-07-04T12:00:00Z,7.602500000000001
145470,44.90896,-93.23099,2022-07-04T12:00:00Z,14.8865
3088,44.935818,-93.21752,2022-07-04T12:00:00Z,7.8455
143214,44.90534,-93.232285,2022-07-04T12:00:00Z,14.3085
101525,44.893944,-93.30508,2022-07-04T12:00:00Z,11.8145
142724,44.937733,-93.24356,2022-07-04T12:00:00Z,15.822
145242,45.007458,-93.26463,2022-07-04T12:00:00Z,17.026
142720,44.955555,-93.254974,2022-07-04T12:00:00Z,17.615000000000002
43305,44.899097,-93.30169,2022-07-04T12:00:00Z,12.757
77405,44.966743,-93.17984,2022-07-04T12:00:00Z,14.8545
145250,44.96758,-93.3164,2022-07-04T12:00:00Z,14.292
54907,45.003338,-93.25568,2022-07-04T12:00:00Z,12.91
142734,44.90432,-93.280624,2022-07-04T12:00:00Z,12.421
143226,44.91171,-93.227066,2022-07-04T12:00:00Z,15.674
143648,45.029537,-93.29194,2022-07-04T12:00:00Z,14.259
110979,44.997475,-93.25726,2022-07-04T12:00:00Z,14.18
143284,44.95001,-93.24743,2022-07-04T12:00:00Z,14.5415
21179,44.965965,-93.284615,2022-07-04T12:00:00Z,18.548
143240,44.987465,-93.25782,2022-07-04T12:00:00Z,10.9555
11134,44.92776,-93.32235,2022-07-04T12:00:00Z,10.9005
113486,44.928123,-93.25389,2022-07-04T12:00:00Z,8.4975
128195,44.93578,-93.18634,2022-07-04T12:00:00Z,11.591
145498,44.935925,-93.2779,2022-07-04T12:00:00Z,13.4805
108364,44.878834,-93.35441,2022-07-04T12:00:00Z,10.155
143242,44.96826,-93.21156,2022-07-04T12:00:00Z,13.812
145250,44.96758,-93.3164,2022-07-04T18:00:00Z,6.0585
11134,44.92776,-93.32235,2022-07-04T18:00:00Z,4.9545
54907,45.003338,-93.25568,2022-07-04T18:00:00Z,6.4125
77405,44.966743,-93.17984,2022-07-04T18:00:00Z,6.720000000000001
