Sensor_ID,Y,X,time_stamp,temperature,pm2.5_atm,cluster,reclassified_cluster
108274,45.030721,-93.393912,2022-07-04T00:00:00Z,86.95,8.819500000000001,0,C1 (<12)
108364,44.878977,-93.354913,2022-07-04T00:00:00Z,,12.1965,3,C4 (>55.4)
43305,44.898873,-93.302307,2022-07-04T00:00:00Z,84.911,12.283,3,C4 (>55.4)
11134,44.927815,-93.322808,2022-07-04T00:00:00Z,32.0,12.677,3,C4 (>55.4)
145250,44.9681144,-93.3170144,2022-07-04T00:00:00Z,83.555,18.1325,1,C2 (12.1-35.4)
143648,45.03,-93.292549,2022-07-04T00:00:00Z,84.733,13.645,3,C4 (>55.4)
54907,45.00335341,-93.25570528,2022-07-04T00:00:00Z,84.128,10.902,3,C4 (>55.4)
143242,44.9675165,-93.2114928,2022-07-04T00:00:00Z,83.289,9.523,0,C1 (<12)
143214,44.9063869,-93.2323539,2022-07-04T00:00:00Z,84.328,11.293,3,C4 (>55.4)
145470,44.908042,-93.2313388,2022-07-04T00:00:00Z,82.856,12.762,3,C4 (>55.4)
46215,44.9100027,-93.2322485,2022-07-04T00:00:00Z,79.722,1.748,5,C6 (>500)
108366,44.8798835,-93.3896065,2022-07-04T00:00:00Z,83.75,13.0955,3,C4 (>55.4)
143226,44.9114735,-93.2251173,2022-07-04T00:00:00Z,86.005,12.153,3,C4 (>55.4)
3088,44.935901,-93.21761,2022-07-04T00:00:00Z,86.972,8.393,0,C1 (<12)
142720,44.956349,-93.255908,2022-07-04T00:00:00Z,84.733,16.664,1,C2 (12.1-35.4)
21179,44.9659784,-93.284883,2022-07-04T00:00:00Z,84.583,10.9525,3,C4 (>55.4)
17189,44.9812848,-93.2716517,2022-07-04T00:00:00Z,85.978,3.805,5,C6 (>500)
107082,44.9202,-93.17529,2022-07-04T00:00:00Z,82.105,3.632,5,C6 (>500)
128195,44.935632,-93.186259,2022-07-04T00:00:00Z,85.006,5.500500000000001,5,C6 (>500)
85113,44.9364071,-93.1789915,2022-07-04T00:00:00Z,85.928,11.572,3,C4 (>55.4)
107096,44.94275,-93.1704394,2022-07-04T00:00:00Z,86.022,6.139,0,C1 (<12)
126487,45.0386,-93.2142,2022-07-04T00:00:00Z,84.484,6.6185,0,C1 (<12)
23989,45.112031,-93.277993,2022-07-04T00:00:00Z,83.267,14.9545,1,C2 (12.1-35.4)
113486,44.927942,-93.254285,2022-07-04T00:00:00Z,85.839,9.2325,0,C1 (<12)
147749,44.955786,-93.385116,2022-07-04T00:00:00Z,81.6695,3.076,5,C6 (>500)
75827,44.932755,-93.140978,2022-07-04T00:00:00Z,87.35,10.5375,3,C4 (>55.4)
75827,44.932755,-93.140978,2022-07-04T06:00:00Z,82.461,10.879,3,C4 (>55.4)
54907,45.00335341,-93.25570528,2022-07-04T06:00:00Z,78.761,11.833,3,C4 (>55.4)
126487,45.0386,-93.2142,2022-07-04T06:00:00Z,79.544,7.317,0,C1 (<12)
43305,44.898873,-93.302307,2022-07-04T06:00:00Z,79.183,12.39,3,C4 (>55.4)
23989,45.112031,-93.277993,2022-07-04T06:00:00Z,79.2,10.963,3,C4 (>55.4)
108366,44.8798835,-93.3896065,2022-07-04T06:00:00Z,78.778,12.6725,3,C4 (>55.4)
107096,44.94275,-93.1704394,2022-07-04T06:00:00Z,85.0,3.495,5,C6 (>500)
85113,44.9364071,-93.1789915,2022-07-04T06:00:00Z,80.15,12.5205,3,C4 (>55.4)
142720,44.956349,-93.255908,2022-07-04T06:00:00Z,79.389,12.8265,3,C4 (>55.4)
3088,44.935901,-93.21761,2022-07-04T06:00:00Z,81.472,7.577500000000001,0,C1 (<12)
145470,44.908042,-93.2313388,2022-07-04T06:00:00Z,76.706,12.869,3,C4 (>55.4)
113486,44.927942,-93.254285,2022-07-04T06:00:00Z,80.528,7.729999999999999,0,C1 (<12)
143214,44.9063869,-93.2323539,2022-07-04T06:00:00Z,78.789,12.138,3,C4 (>55.4)
108364,44.878977,-93.354913,2022-07-04T06:00:00Z,,12.274,3,C4 (>55.4)
143242,44.9675165,-93.2114928,2022-07-04T06:00:00Z,79.1,11.436,3,C4 (>55.4)
11134,44.927815,-93.322808,2022-07-04T06:00:00Z,32.0,11.683,3,C4 (>55.4)
21179,44.9659784,-93.284883,2022-07-04T06:00:00Z,79.25,10.9535,3,C4 (>55.4)
147749,44.955786,-93.385116,2022-07-04T06:00:00Z,81.997,0.4425,5,C6 (>500)
17189,44.9812848,-93.2716517,2022-07-04T06:00:00Z,86.886,4.096,5,C6 (>500)
143226,44.9114735,-93.2251173,2022-07-04T06:00:00Z,79.433,12.6205,3,C4 (>55.4)
107082,44.9202,-93.17529,2022-07-04T06:00:00Z,82.017,4.041,5,C6 (>500)
108274,45.030721,-93.393912,2022-07-04T06:00:00Z,82.278,5.648,5,C6 (>500)
46215,44.9100027,-93.2322485,2022-07-04T06:00:00Z,80.945,4.0025,5,C6 (>500)
143648,45.03,-93.292549,2022-07-04T06:00:00Z,78.961,12.245,3,C4 (>55.4)
145250,44.9681144,-93.3170144,2022-07-04T06:00:00Z,78.5,13.9995,3,C4 (>55.4)
128195,44.935632,-93.186259,2022-07-04T06:00:00Z,79.561,7.6485,0,C1 (<12)
23989,45.112031,-93.277993,2022-07-04T12:00:00Z,78.166,12.9705,3,C4 (>55.4)
107082,44.9202,-93.17529,2022-07-04T12:00:00Z,82.0,4.57,5,C6 (>500)
108364,44.878977,-93.354913,2022-07-04T12:00:00Z,,10.155,3,C4 (>55.4)
